Compound,Name,L-HC,B1-HC,B5-HC,L-OC,B1-OC,B5-OC,%V (H-C)Min,%V (O-C),d-total,HNBO (min),CNBO,ONBO,HOMO,LUMO
BnOH,Sub-A,5.01,1.96,6.20,6.34,1.92,6.14,30.5,27.8,1.7681,0.1682,-0.0719,-0.7052,-0.2945,0.0240
BnOH - pCF3,Sub-B,5.94,1.96,7.80,6.46,1.92,7.80,30.5,27.8,4.5748,0.1726,-0.0756,-0.7040,-0.3167,0.0002
BnOH - pCl,Sub-C,5.17,1.96,7.47,6.34,1.93,7.42,30.4,27.8,3.4294,0.1699,-0.0715,-0.7049,-0.2917,0.0109
BnOH - pMe,Sub-D,5.32,1.96,7.30,6.31,1.94,7.27,30.4,27.8,1.5263,0.1670,-0.0697,-0.7054,-0.2833,0.0272
BnOH - pNO2,Sub-E,5.54,1.96,7.75,6.52,1.92,7.81,30.5,27.9,6.4506,0.1759,-0.0809,-0.7031,-0.3275,-0.0502
BnOH - pOMe,Sub-F,5.69,1.96,8.23,6.59,1.89,8.08,30.4,27.8,0.9234,0.1656,-0.0660,-0.7062,-0.2676,0.0259
1-phenylethanol,Sub-G,5.50,2.64,6.20,6.16,1.98,6.18,37.9,34.0,1.7528,0.1597,0.0843,-0.7073,-0.2960,0.0241
cyclohexanemethanol,Sub-H,5.51,1.96,6.16,5.96,1.92,6.12,31.9,28.7,1.4007,0.1502,-0.0467,-0.7137,-0.3410,0.0633
cyclohexylethanol,Sub-I,5.21,2.71,6.31,5.77,1.99,6.24,42.4,35.2,1.4623,0.1456,0.1110,-0.7168,0.0633,0.0579
cyclohexanol,Sub-J,4.21,2.37,5.02,6.55,1.98,3.69,41.1,30.9,1.6633,0.2011,0.1431,-0.7082,-0.3374,0.0622
2-bromobenzyl alcohol,Sub-K,5.31,1.75,6.20,6.00,1.70,6.07,36.1,28.6,1.9405,0.1820,-0.0829,-0.6930,-0.3007,0.0063
2-methylbenzyl alcohol,Sub-L,5.39,1.97,6.17,6.05,1.92,6.17,35.3,28.3,2.0585,0.1674,-0.0764,-0.7049,-0.2884,0.0304
3-pyridinemethanol,Sub-M,4.73,1.95,6.14,5.84,1.92,6.06,30.3,27.8,2.7044,0.1721,-0.0730,-0.7050,-0.3072,0.0094
2-furyl,Sub-N,4.89,1.94,5.61,5.26,1.89,5.62,28.7,26.1,1.5946,0.1746,-0.1046,-0.6935,-0.2827,0.0333
cinnamyl alcohol,Sub-O,6.15,1.96,8.23,6.02,1.92,8.54,26.8,27.3,1.9393,0.1676,-0.0899,-0.7053,-0.2708,-0.0009
3-phenyl-2-propyn-1-ol,Sub-P,6.15,1.96,8.66,6.50,1.93,8.61,25.5,23.6,1.5518,0.1864,-0.1308,-0.6844,-0.2823,-0.0015
geraniol,Sub-Q,6.35,2.02,7.10,5.33,1.93,7.78,27.1,38.2,1.4565,0.1630,-0.1015,-0.7155,-0.2802,0.0334
