id,L_x,B1_x,B5_x,d-total_x,HNBO,CNBO_x,ONBO_x,HOMO_x,LUMO_x,L_y,B1_y,B5_y,d-total_y,NBO (N)_x,HOMO_y,LUMO_y,L_x,B1_x,B5_x,d-total_x,ONBO_y,NNBO,CNBO_y,HOMO_x,LUMO_x,L_y,B1_y,B5_y,d-total_y,NBO (N)_y,HOMO_y,LUMO_y
BnOH_NMI_4-oxo-TEMPO_bpy,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,1.4577,-0.45421999999999996,-0.50456,-0.15753,6.35,2.37,4.44,3.1372,-0.59982,-0.19147,0.1293,-0.29782,0.01955,1,1,1,3.0575,-0.38616999999999996,-0.29817,-0.01879
BnOH_NMI_4-oxo-TEMPO_bpy-pCF3,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,1.4577,-0.45421999999999996,-0.50456,-0.15753,6.35,2.37,4.44,3.1372,-0.59982,-0.19147,0.1293,-0.29782,0.01955,1,1,1,1.1611,-0.36939,-0.32463000000000003,-0.04688
BnOH_NMI_4-oxo-TEMPO_bpy-pMe,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,1.4577,-0.45421999999999996,-0.50456,-0.15753,6.35,2.37,4.44,3.1372,-0.59982,-0.19147,0.1293,-0.29782,0.01955,1,1,1,3.7425,-0.39388,-0.29351,-0.014509999999999999
BnOH_NMI_4-oxo-TEMPO_bpy-pOMe,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,1.4577,-0.45421999999999996,-0.50456,-0.15753,6.35,2.37,4.44,3.1372,-0.59982,-0.19147,0.1293,-0.29782,0.01955,1,1,1,2.8232,-0.41186000000000006,-0.29588000000000003,-0.00867
BnOH_NMI_4-oxo-TEMPO_bpy-ptBu,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,1.4577,-0.45421999999999996,-0.50456,-0.15753,6.35,2.37,4.44,3.1372,-0.59982,-0.19147,0.1293,-0.29782,0.01955,1,1,1,3.9271,-0.39148,-0.29209,-0.00952
BnOH_NMI_4-oxo-TEMPO_neocup,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,1.4577,-0.45421999999999996,-0.50456,-0.15753,6.35,2.37,4.44,3.1372,-0.59982,-0.19147,0.1293,-0.29782,0.01955,1,1,1,2.1727,-0.39028,-0.27518000000000004,-0.02313
BnOH_NMI_ABNO_bpy,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,1.4577,-0.45421999999999996,-0.50456,-0.15753,6.53,1.89,4.85,0.6866,-0.60863,-0.16899,-0.058929999999999996,-0.28112,0.057670000000000006,1,1,1,3.0575,-0.38616999999999996,-0.29817,-0.01879
BnOH_NMI_ABNO_bpy-pCF3,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,1.4577,-0.45421999999999996,-0.50456,-0.15753,6.53,1.89,4.85,0.6866,-0.60863,-0.16899,-0.058929999999999996,-0.28112,0.057670000000000006,1,1,1,1.1611,-0.36939,-0.32463000000000003,-0.04688
BnOH_NMI_ABNO_bpy-pMe,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,1.4577,-0.45421999999999996,-0.50456,-0.15753,6.53,1.89,4.85,0.6866,-0.60863,-0.16899,-0.058929999999999996,-0.28112,0.057670000000000006,1,1,1,3.7425,-0.39388,-0.29351,-0.014509999999999999
BnOH_NMI_ABNO_bpy-pOMe,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,1.4577,-0.45421999999999996,-0.50456,-0.15753,6.53,1.89,4.85,0.6866,-0.60863,-0.16899,-0.058929999999999996,-0.28112,0.057670000000000006,1,1,1,2.8232,-0.41186000000000006,-0.29588000000000003,-0.00867
BnOH_NMI_ABNO_bpy-ptBu,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,1.4577,-0.45421999999999996,-0.50456,-0.15753,6.53,1.89,4.85,0.6866,-0.60863,-0.16899,-0.058929999999999996,-0.28112,0.057670000000000006,1,1,1,3.9271,-0.39148,-0.29209,-0.00952
BnOH_NMI_ABNO_neocup,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,1.4577,-0.45421999999999996,-0.50456,-0.15753,6.53,1.89,4.85,0.6866,-0.60863,-0.16899,-0.058929999999999996,-0.28112,0.057670000000000006,1,1,1,2.1727,-0.39028,-0.27518000000000004,-0.02313
BnOH_NMI_AZADO_bpy,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,1.4577,-0.45421999999999996,-0.50456,-0.15753,6.42,1.85,4.93,0.6884,-0.60853,-0.16835,-0.06537000000000001,-0.28043,0.0552,1,1,1,3.0575,-0.38616999999999996,-0.29817,-0.01879
BnOH_NMI_AZADO_bpy-pCF3,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,1.4577,-0.45421999999999996,-0.50456,-0.15753,6.42,1.85,4.93,0.6884,-0.60853,-0.16835,-0.06537000000000001,-0.28043,0.0552,1,1,1,1.1611,-0.36939,-0.32463000000000003,-0.04688
BnOH_NMI_AZADO_bpy-pMe,5.01,1.96,6.2,1.7681,0.16816,-0.07185,-0.70516,-0.29449000000000003,0.023969999999999998,6.19,1.78,3.64,1.4577,-0.45421999999999996,-0.50456,-0.15753,6.42,1.85,4.93,0.6884,-0.60853,-0.16835,-0.06537000000000001,-0.28043,0.0552,1,1,1,3.7425,-0.39388,-0.29351,-0.014509999999999999
