id,cluster
Sub-O_CA-D_Oxo-B_LigS-B,0
Sub-L_Base-D_Oxo-C_LigA-B,0
Sub-R_Base-D_Oxo-D_LigS-B,0
Sub-N_CA-C_Oxo-D_LigA-B,0
Sub-B_CA-A_Oxo-F_LigA-B,0
Sub-F_CA-C_Oxo-B_LigS-B,0
Sub-B_Base-D_Oxo-E_LigS-B,0
Sub-A_CA-E_Oxo-E_LigS-B,0
Sub-Y_CA-D_Oxo-B_LigA-B,0
Sub-AB_Base-C_Oxo-E_LigS-B,0
Sub-A_CA-E_Oxo-C_LigA-B,0
Sub-N_Base-E_Oxo-C_LigS-B,0
Sub-G_Base-A_Oxo-C_LigS-B,0
Sub-Z_CA-A_Oxo-E_LigA-B,0
Sub-V_CA-C_Oxo-A_LigA-B,0
Sub-M_CA-E_Oxo-B_LigA-B,0
Sub-U_CA-D_Oxo-D_LigA-B,0
Sub-T_Base-E_Oxo-A_LigS-B,0
Sub-K_CA-B_Oxo-D_LigA-B,0
Sub-R_CA-A_Oxo-A_LigA-B,0
Sub-T_CA-B_Oxo-E_LigA-B,0
Sub-V_CA-C_Oxo-D_LigA-B,0
Sub-AB_CA-E_Oxo-A_LigA-B,0
Sub-M_CA-C_Oxo-D_LigS-B,0
Sub-O_Base-B_Oxo-F_LigS-B,0
Sub-D_Base-B_Oxo-D_LigA-B,0
Sub-J_Base-C_Oxo-F_LigS-B,0
Sub-Z_Base-B_Oxo-C_LigS-B,0
Sub-R_CA-D_Oxo-E_LigA-B,0
Sub-C_CA-A_Oxo-F_LigA-B,0
Sub-J_Base-D_Oxo-C_LigS-B,0
Sub-I_CA-B_Oxo-F_LigS-B,0
Sub-R_CA-B_Oxo-A_LigS-B,0
Sub-AC_CA-E_Oxo-D_LigS-B,0
Sub-G_Base-A_Oxo-A_LigA-B,0
Sub-N_CA-C_Oxo-C_LigA-B,0
Sub-A_Base-E_Oxo-F_LigS-B,0
Sub-R_Base-D_Oxo-F_LigA-B,0
Sub-H_Base-A_Oxo-F_LigS-B,0
Sub-W_CA-E_Oxo-E_LigS-B,0
Sub-G_CA-C_Oxo-E_LigA-B,0
Sub-AA_CA-A_Oxo-C_LigS-B,0
Sub-I_Base-D_Oxo-B_LigS-B,0
Sub-K_Base-E_Oxo-E_LigA-B,0
Sub-C_Base-A_Oxo-C_LigS-B,0
Sub-S_Base-D_Oxo-B_LigA-B,0
Sub-W_Base-C_Oxo-C_LigA-B,0
Sub-F_Base-C_Oxo-C_LigS-B,0
Sub-Q_Base-D_Oxo-C_LigS-B,0
Sub-AC_CA-C_Oxo-F_LigS-B,0
Sub-C_CA-E_Oxo-B_LigA-B,0
Sub-I_Base-A_Oxo-D_LigS-B,0
Sub-AB_CA-D_Oxo-B_LigS-B,0
Sub-H_CA-A_Oxo-E_LigA-B,0
Sub-AB_CA-B_Oxo-D_LigS-B,0
Sub-G_CA-A_Oxo-E_LigA-B,0
Sub-P_CA-D_Oxo-B_LigS-B,0
Sub-N_CA-C_Oxo-E_LigS-B,0
Sub-G_Base-C_Oxo-F_LigA-B,0
Sub-Q_CA-C_Oxo-D_LigA-B,0
Sub-L_Base-D_Oxo-F_LigA-B,0
Sub-I_Base-A_Oxo-A_LigS-B,0
Sub-W_CA-E_Oxo-A_LigS-B,0
Sub-C_Base-B_Oxo-E_LigS-B,0
Sub-X_CA-B_Oxo-A_LigA-B,0
Sub-Y_Base-D_Oxo-C_LigS-B,0
Sub-F_CA-A_Oxo-D_LigA-B,0
Sub-AB_Base-C_Oxo-C_LigS-B,0
Sub-Y_Base-E_Oxo-D_LigS-B,0
Sub-A_Base-B_Oxo-A_LigA-B,0
Sub-G_CA-B_Oxo-D_LigS-B,0
Sub-AC_CA-B_Oxo-C_LigS-B,0
Sub-R_CA-A_Oxo-C_LigA-B,0
Sub-F_Base-C_Oxo-E_LigA-B,0
Sub-Q_CA-C_Oxo-F_LigS-B,0
Sub-G_CA-C_Oxo-F_LigA-B,0
Sub-H_CA-E_Oxo-B_LigS-B,0
Sub-AC_Base-B_Oxo-C_LigA-B,0
Sub-N_CA-E_Oxo-B_LigS-B,0
Sub-AC_CA-D_Oxo-A_LigA-B,0
Sub-K_Base-B_Oxo-E_LigA-B,0
Sub-Q_CA-B_Oxo-B_LigS-B,0
Sub-V_CA-C_Oxo-C_LigS-B,0
Sub-N_Base-A_Oxo-B_LigS-B,0
Sub-N_Base-A_Oxo-F_LigS-B,0
Sub-U_CA-B_Oxo-E_LigA-B,0
Sub-D_Base-E_Oxo-D_LigA-B,0
Sub-AB_Base-B_Oxo-B_LigA-B,0
Sub-W_Base-A_Oxo-E_LigS-B,0
Sub-U_CA-E_Oxo-E_LigA-B,0
Sub-R_Base-C_Oxo-D_LigA-B,0
Sub-N_CA-E_Oxo-C_LigS-B,0
Sub-AC_CA-A_Oxo-A_LigS-B,0
Sub-U_CA-C_Oxo-D_LigS-B,0
Sub-AA_Base-C_Oxo-A_LigS-B,0
Sub-K_CA-C_Oxo-A_LigS-B,0
Sub-AC_CA-C_Oxo-B_LigA-B,0
Sub-AB_Base-A_Oxo-C_LigS-B,0
Sub-G_CA-B_Oxo-B_LigA-B,0
Sub-N_CA-D_Oxo-A_LigA-B,0
Sub-C_CA-C_Oxo-F_LigS-B,0
Sub-S_Base-B_Oxo-B_LigS-B,0
Sub-O_CA-A_Oxo-A_LigS-B,0
Sub-V_Base-C_Oxo-D_LigS-B,0
Sub-Z_CA-C_Oxo-A_LigA-B,0
Sub-A_Base-E_Oxo-B_LigS-B,0
Sub-C_CA-A_Oxo-A_LigA-B,0
Sub-G_Base-B_Oxo-E_LigA-B,0
Sub-S_Base-A_Oxo-C_LigA-B,0
Sub-H_Base-A_Oxo-C_LigS-B,0
Sub-Q_Base-E_Oxo-E_LigA-B,0
Sub-C_CA-C_Oxo-A_LigS-B,0
Sub-X_Base-A_Oxo-B_LigA-B,0
Sub-U_Base-C_Oxo-E_LigA-B,0
Sub-S_CA-E_Oxo-C_LigS-B,0
Sub-G_CA-B_Oxo-A_LigA-B,0
Sub-U_Base-E_Oxo-E_LigA-B,0
Sub-K_Base-C_Oxo-C_LigA-B,0
Sub-X_CA-E_Oxo-F_LigS-B,0
Sub-AB_Base-A_Oxo-B_LigA-B,0
Sub-Q_CA-C_Oxo-E_LigS-B,0
Sub-U_CA-D_Oxo-E_LigS-B,0
Sub-U_Base-E_Oxo-C_LigA-B,0
Sub-R_Base-B_Oxo-A_LigA-B,0
Sub-S_Base-E_Oxo-A_LigS-B,0
Sub-O_Base-B_Oxo-A_LigA-B,0
Sub-AB_Base-D_Oxo-D_LigS-B,0
Sub-O_Base-C_Oxo-A_LigS-B,0
Sub-Y_CA-D_Oxo-F_LigS-B,0
Sub-J_Base-B_Oxo-C_LigS-B,0
Sub-T_Base-E_Oxo-B_LigA-B,0
Sub-L_CA-A_Oxo-A_LigA-B,0
Sub-M_CA-C_Oxo-A_LigS-B,0
Sub-N_Base-D_Oxo-B_LigA-B,0
Sub-W_CA-C_Oxo-E_LigA-B,0
Sub-L_CA-D_Oxo-B_LigA-B,0
Sub-P_Base-A_Oxo-B_LigA-B,0
Sub-AC_Base-A_Oxo-D_LigA-B,0
Sub-AA_CA-A_Oxo-C_LigS-B,0
Sub-X_CA-A_Oxo-D_LigA-B,0
Sub-AA_Base-A_Oxo-F_LigS-B,0
Sub-J_CA-A_Oxo-D_LigS-B,0
Sub-T_Base-D_Oxo-E_LigA-B,0
Sub-U_Base-B_Oxo-F_LigA-B,0
Sub-V_CA-A_Oxo-D_LigS-B,0
Sub-C_CA-D_Oxo-C_LigS-B,0
Sub-Y_CA-D_Oxo-F_LigS-B,0
Sub-R_Base-E_Oxo-B_LigS-B,0
Sub-AC_Base-A_Oxo-B_LigS-B,0
Sub-C_Base-D_Oxo-C_LigS-B,0
Sub-S_Base-E_Oxo-D_LigS-B,0
Sub-C_CA-C_Oxo-A_LigA-B,0
Sub-H_CA-D_Oxo-B_LigA-B,0
Sub-L_CA-A_Oxo-F_LigS-B,0
Sub-AA_Base-C_Oxo-A_LigA-B,0
Sub-R_Base-C_Oxo-A_LigS-B,0
Sub-X_Base-C_Oxo-C_LigS-B,0
Sub-Z_CA-B_Oxo-E_LigA-B,0
Sub-H_Base-A_Oxo-E_LigA-B,0
Sub-O_CA-D_Oxo-F_LigS-B,0
Sub-Y_CA-A_Oxo-A_LigS-B,0
Sub-Q_CA-D_Oxo-D_LigA-B,0
Sub-AB_CA-B_Oxo-F_LigS-B,0
Sub-B_CA-C_Oxo-E_LigS-B,0
Sub-A_Base-C_Oxo-C_LigA-B,0
Sub-B_Base-B_Oxo-F_LigA-B,0
Sub-P_CA-E_Oxo-E_LigS-B,0
Sub-L_Base-E_Oxo-A_LigA-B,0
Sub-U_Base-A_Oxo-B_LigS-B,0
Sub-C_Base-D_Oxo-B_LigA-B,0
Sub-AB_Base-C_Oxo-A_LigS-B,0
Sub-Z_Base-E_Oxo-C_LigS-B,0
Sub-R_Base-A_Oxo-B_LigA-B,0
Sub-X_CA-C_Oxo-A_LigS-B,0
Sub-M_CA-D_Oxo-A_LigS-B,0
Sub-AB_Base-C_Oxo-B_LigA-B,0
Sub-F_CA-D_Oxo-E_LigS-B,0
Sub-L_Base-D_Oxo-F_LigA-B,0
Sub-R_Base-A_Oxo-B_LigS-B,0
Sub-B_CA-C_Oxo-C_LigA-B,0
Sub-C_CA-C_Oxo-D_LigS-B,0
Sub-AC_CA-E_Oxo-F_LigS-B,0
Sub-O_CA-E_Oxo-D_LigS-B,0
Sub-V_CA-E_Oxo-E_LigS-B,0
Sub-A_Base-C_Oxo-B_LigA-B,0
Sub-T_CA-E_Oxo-D_LigS-B,0
Sub-G_Base-C_Oxo-D_LigS-B,0
Sub-B_CA-E_Oxo-E_LigA-B,0
Sub-AB_CA-C_Oxo-C_LigS-B,0
Sub-M_Base-A_Oxo-B_LigS-B,0
Sub-C_CA-C_Oxo-C_LigS-B,0
Sub-A_CA-D_Oxo-F_LigA-B,0
Sub-Y_CA-A_Oxo-A_LigA-B,0
Sub-AA_Base-E_Oxo-C_LigS-B,0
Sub-C_Base-C_Oxo-D_LigS-B,0
Sub-J_CA-B_Oxo-C_LigS-B,0
Sub-H_Base-E_Oxo-D_LigS-B,0
Sub-V_CA-C_Oxo-E_LigA-B,0
Sub-X_Base-E_Oxo-F_LigS-B,0
Sub-M_Base-A_Oxo-E_LigS-B,0
Sub-A_Base-E_Oxo-A_LigS-B,0
Sub-A_Base-D_Oxo-A_LigA-B,0
Sub-V_Base-A_Oxo-B_LigS-B,0
Sub-I_Base-C_Oxo-A_LigS-B,0
Sub-D_CA-D_Oxo-D_LigS-B,0
Sub-V_CA-A_Oxo-F_LigA-B,0
Sub-A_CA-B_Oxo-E_LigS-B,0
Sub-X_Base-A_Hyd-D_LigS-A,1
Sub-AA_Base-E_Hyd-D_LigA-A,1
Sub-I_Base-E_Hyd-E_LigS-F,1
Sub-X_Base-B_Hyd-A_LigS-B,1
Sub-W_Base-A_Hyd-C_LigS-B,1
Sub-AC_CA-B_Hyd-A_LigA-F,1
Sub-G_CA-A_Hyd-C_LigA-A,1
Sub-AC_CA-A_Hyd-C_LigS-C,1
Sub-U_CA-B_Hyd-E_LigA-D,1
Sub-W_CA-E_Hyd-A_LigS-E,1
Sub-X_CA-B_Hyd-A_LigS-C,1
Sub-AA_CA-B_Hyd-A_LigS-A,1
Sub-U_CA-E_Hyd-D_LigS-A,1
Sub-AC_CA-A_Hyd-E_LigA-E,1
Sub-AA_CA-B_Hyd-A_LigS-C,1
Sub-G_Base-A_Hyd-F_LigS-B,1
Sub-V_Base-A_Hyd-A_LigA-D,1
Sub-W_CA-B_Hyd-E_LigS-B,1
Sub-W_Base-B_Hyd-A_LigS-C,1
Sub-U_CA-A_Hyd-B_LigA-A,1
Sub-I_CA-B_Hyd-F_LigA-A,1
Sub-AC_Base-B_Hyd-A_LigS-A,1
Sub-J_Base-E_Hyd-E_LigS-E,1
Sub-U_CA-A_Hyd-E_LigS-F,1
Sub-V_Base-B_Hyd-B_LigS-F,1
Sub-Z_CA-E_Hyd-D_LigA-B,1
Sub-AB_CA-E_Hyd-A_LigS-B,1
Sub-AB_Base-A_Hyd-F_LigS-C,1
Sub-U_Base-A_Hyd-E_LigA-E,1
Sub-V_Base-B_Hyd-D_LigS-E,1
Sub-J_CA-A_Hyd-A_LigS-E,1
Sub-G_CA-A_Hyd-A_LigA-E,1
Sub-I_CA-E_Hyd-E_LigS-E,1
Sub-G_CA-B_Hyd-E_LigS-B,1
Sub-X_Base-E_Hyd-D_LigS-F,1
Sub-AC_CA-E_Hyd-C_LigS-B,1
Sub-X_Base-A_Hyd-E_LigS-B,1
Sub-AC_Base-E_Hyd-D_LigA-A,1
Sub-I_Base-B_Hyd-A_LigS-F,1
Sub-Z_Base-A_Hyd-D_LigA-E,1
Sub-AC_CA-A_Hyd-C_LigS-D,1
Sub-AA_Base-A_Hyd-D_LigS-D,1
Sub-X_CA-E_Hyd-A_LigA-B,1
Sub-U_CA-A_Hyd-D_LigA-E,1
Sub-J_CA-B_Hyd-E_LigS-B,1
Sub-AC_CA-A_Hyd-C_LigS-A,1
Sub-AB_CA-E_Hyd-B_LigA-B,1
Sub-V_CA-A_Hyd-E_LigA-E,1
Sub-J_CA-E_Hyd-E_LigS-D,1
Sub-X_CA-A_Hyd-C_LigS-A,1
Sub-G_CA-A_Hyd-B_LigS-A,1
Sub-X_Base-A_Hyd-B_LigS-F,1
Sub-I_CA-E_Hyd-B_LigS-A,1
Sub-G_Base-E_Hyd-E_LigA-B,1
Sub-AC_CA-B_Hyd-A_LigS-F,1
Sub-J_Base-A_Hyd-D_LigA-A,1
Sub-AB_CA-B_Hyd-A_LigS-E,1
Sub-AB_Base-A_Hyd-D_LigA-B,1
Sub-W_CA-B_Hyd-A_LigS-E,1
Sub-G_CA-B_Hyd-B_LigS-D,1
Sub-G_Base-A_Hyd-E_LigA-B,1
Sub-AB_CA-A_Hyd-D_LigS-B,1
Sub-AC_Base-B_Hyd-C_LigS-D,1
Sub-W_CA-A_Hyd-A_LigA-A,1
Sub-Z_Base-B_Hyd-A_LigA-D,1
Sub-U_Base-E_Hyd-B_LigA-E,1
Sub-Z_CA-A_Hyd-E_LigS-C,1
Sub-W_CA-B_Hyd-F_LigA-E,1
Sub-W_Base-A_Hyd-A_LigA-E,1
Sub-X_Base-E_Hyd-D_LigS-B,1
Sub-AA_Base-B_Hyd-F_LigA-A,1
Sub-AA_Base-A_Hyd-E_LigA-B,1
Sub-X_Base-B_Hyd-B_LigS-B,1
Sub-W_Base-E_Hyd-D_LigS-E,1
Sub-G_Base-A_Hyd-E_LigS-C,1
Sub-W_Base-B_Hyd-F_LigA-A,1
Sub-U_Base-B_Hyd-E_LigS-E,1
Sub-I_CA-A_Hyd-D_LigS-E,1
Sub-G_Base-E_Hyd-F_LigA-A,1
Sub-G_Base-E_Hyd-B_LigA-C,1
Sub-X_CA-E_Hyd-A_LigS-F,1
Sub-J_CA-E_Hyd-E_LigA-D,1
Sub-Z_Base-A_Hyd-A_LigS-E,1
Sub-AA_CA-A_Hyd-D_LigA-D,1
Sub-I_CA-B_Hyd-C_LigA-F,1
Sub-V_Base-A_Hyd-D_LigA-A,1
Sub-Z_Base-A_Hyd-B_LigS-D,1
Sub-I_CA-A_Hyd-C_LigA-D,1
Sub-AB_CA-B_Hyd-B_LigS-E,1
Sub-Z_Base-A_Hyd-F_LigA-C,1
Sub-W_CA-E_Hyd-D_LigA-C,1
Sub-Z_Base-A_Hyd-D_LigS-B,1
Sub-V_CA-A_Hyd-B_LigA-A,1
Sub-J_CA-E_Hyd-D_LigA-C,1
